"hairclinic.ingredients.biotin"|"hairclinic"|"Biotin"|"A biotin a természetes hajnövekedési folyamat egyik fő komponense. Hozzájárul a haj normál állapotának fenntartásához, és számos létfontosságú anyagcsere-folyamatban is részt vesz."
"hairclinic.ingredients.b5"|"hairclinic"|"B<sub>5</sub>-vitamin"|"A B<sub>5</sub>-vitamin (más néven pantoténsav) részt vesz a többek között a hajképzésben is szerepet játszó sejtek normál energiatermelő anyagcsere-folyamataiban."
"hairclinic.ingredients.amino"|"hairclinic"|"Aminosavak (cisztin és metionin)"|"A hajszálak főként keratin nevű fehérjemolekulákból épülnek fel, ezek építőelemei az aminosavak (pl. a cisztin és a metionin). A metionin ún. esszenciális aminosav, ez azt jelenti, hogy az emberi szervezet nem vagy nem elegendő mennyiségben képes előállítani, ezért elsősorban táplálkozás útján tudjuk bevinni."
"hairclinic.ingredients.cink"|"hairclinic"|"Cink"|"A cink az ásványi anyagok közül a legfontosabb olyan elem, amely hozzájárul a haj egészségének megőrzéséhez."
"hairclinic.dosage"|"hairclinic"|"Adagolás"|"Naponta 2x1 kapszula, reggel és este, bő folyadékkal egészben bevéve. Javasolt 3 hónapos kúrát tartani, hiszen idő kell ahhoz, hogy a belső folyamatok kívülről is látványosak legyenek. A 3 hónapos kúra 2 doboz 90 darabos HairClinic® kiszerelésnek felel meg."
"hairclinic_extra.description"|"hairclinic_extra"|"Leírás"|"A HairClinic® Extra retard tabletta a hajgyökereket olyan ásványi anyagokkal és vitaminokkal táplálja, amelyek hozzájárulnak az egészséges hajszerkezet megőrzéséhez. A retard filmtabletta különlegessége, hogy a benne lévő tápanyagmennyiséget több órán keresztül, elnyújtva juttatja a véráramba. Ezáltal folyamatosan ellátja a sejteket tápanyagokkal"
"hairclinic_extra.ingredients.kova"|"hairclinic_extra"|"Kovaföld"|"A kovaföld olyan természetes anyag, amely számos ásványi anyagot és nyomelemet tartalmaz, közöttük is kiemelkedő mennyiségű szilíciumot. A szilícium a szervezet számára nélkülözhetetlen esszenciális nyomelem, ami fiziológiás körülmények között a bõrben és a csontban halmozódik."
"hairclinic_extra.ingredients.granat"|"hairclinic_extra"|"Gránátalma-kivonat"|"A gránátalma magas antioxidáns-, polifenol- és flavonoidtartalmú gyümölcs."
"hairclinic_extra.ingredients.biotin"|"hairclinic_extra"|"Biotin"|"A biotin a természetes hajnövekedési folyamat egyik fő komponense. Hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_extra.ingredients.cink"|"hairclinic_extra"|"Cink"|"A cink az ásványi anyagok közül a legfontosabb olyan elem, amely hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_extra.ingredients.rez"|"hairclinic_extra"|"Réz"|"A réz hozzájárul a haj normál pigmentációjához."
"hairclinic_extra.ingredients.a"|"hairclinic_extra"|"A vitamin"|"Az A-vitamin hozzájárul a bőr normál állapotának fenntartásához."
"hairclinic_extra.dosage"|"hairclinic_extra"|"Adagolás"|"Naponta 1-2 tabletta bevétele javasolt, bő folyadékkal, egészben lenyelve."
"hairclinic_men.description"|"hairclinic_men"|"Leírás"|""
"hairclinic_men.ingredients.biotin"|"hairclinic_men"|"Biotin"|"A biotin a természetes hajnövekedési folyamat egyik fő komponense. Hozzájárul a haj normál állapotának fenntartásához, és számos létfontosságú anyagcsere-folyamatban is részt vesz."
"hairclinic_men.ingredients.b5"|"hairclinic_men"|"B<sub>5</sub>-vitamin"|"A B<sub>5</sub>-vitamin (más néven pantoténsav) részt vesz a többek között a hajképzésben is szerepet játszó sejtek normál energiatermelő anyagcsere-folyamataiban."
"hairclinic_men.ingredients.cink"|"hairclinic_men"|"Cink"|"A cink hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_men.ingredients.rez"|"hairclinic_men"|"Réz"|"A réz hozzájárul a haj normál pigmentációjához."
"hairclinic_men.ingredients.szabal"|"hairclinic_men"|"Szabalpálma"|"Támogatja a hajnövekedést, segít fenntartani az egészséges hajszerkezetet."
"hairclinic_men.ingredients.szelen"|"hairclinic_men"|"Szelén"|"Hozzájárul a haj normál állapotának fenntartásához."
"hairclinic_men.ingredients.koffein"|"hairclinic_men"|"Koffein és hialuronsav"|""
"hairclinic_men.dosage"|"hairclinic_men"|"Adagolás"|"Naponta 2x1 kapszula étkezés közben vagy után bő folyadékkal egészben bevéve. Javasolt 3 hónapos kúrát tartani, hiszen idő kell ahhoz, hogy a belső folyamatok kívülről is látványosak legyenek. A 3 hónapos kúra 3 doboz 60 darabos HairClinic® Men kiszerelésnek felel meg"
"good_to_know.description"|"good_to_know"|"Leírás"|"A hajképző folyamat központja a fejbőr alatt található hajgyökér, amely a hajszálak növekedéséért és rögzítéséért felelős. A hajgyökeret rugalmas szövetek veszik körül (ún. kollagén-burok). A hajszálerek, amelyek a hajképzéshez szükséges tápanyagokat szállítják, e szöveteken keresztül jutnak be a hajgyökérbe. Fontos, hogy a hajgyökereknek rendelkezésükre álljanak a szép és egészséges hajszálakhoz szükséges minőségű és mennyiségű tápanyagok. A hajproblémák megelőzéséhez vagy megszüntetéséhez fontos tudnod, hogyan tápláld és kezeld megfelelően a hajad."
"good_to_know.questions.q1"|"good_to_know"|"Száraz, töredezett haj esetén mi a teendő?"|"A teljesen elhalt hajvégeken már nem lehet segíteni, néhány centis egészségügyi vágásra van szükség. Nagyobb hangsúlyt kell fektetni a megelőzésre, ajánlott a balzsam és hajpakolás gyakori használata. Utóbbira nem kell feltétlenül sok pénzt kiadni, hisz a töredezett haj kezelése otthon is lehetséges: olívaolaj, méz és tojássárgájának keverékét kend a hajadra, majd tekerd be törölközővel, mert a melegben a tápanyagok jobban beépülnek a hajszálakba. Ezt a természetes balzsamot hagyd a hajadon legalább egy fél órán-órán keresztül, vagy akár egész éjszakára - ezzel is segítheted a hajerősítést. Emellett keresd azokat a termékeket, amelyek hozzájárulnak az egészséges hajszerkezet megőrzéséhez"
"good_to_know.questions.q2"|"good_to_know"|"A Hajhullás természetes folyamat? Mit tanácsolsz a kezelésére?"|"Naponta körülbelül 50-80 hajszál hullik ki. Ez természetes folyamat: amikor a hajszál elöregszik, újabbnak adja át a helyét. Túlzott mértékű hajhullásról akkor beszélünk, ha hosszabb időn keresztül napi 100 szál felett van a kihullott haj mennyisége. A hajképző folyamat központja a fejbőr alatt található hajgyökér, amely a hajszálak növekedéséért és rögzítéséért felelős. A hajgyökeret rugalmas szövetek veszik körül (ez az ún. kollagénburok). A hajszálerek, amelyek a hajképzéshez szükséges tápanyagokat szállítják, e szöveteken keresztül jutnak be a hajgyökérbe. A legújabb kutatások szerint a hajhullás okai közül az egyik leggyakoribb a hajgyökeret körülvevő szövetek megkeményedése. Ha ezek a szövetek megszilárdulnak, a hajhullás kezdeti tünetei jelentkezhetnek. A szövetek megkeményedése ugyanis gátolja a vérkeringést, amitől a hajgyökér tápanyag-ellátottsága károsodik. Ennek hatására a hajgyökér elgyengül, deformálódik, és elengedi a hajszálat. Ez a hajszálak idő előtti elvesztéséhez, hosszabb távon kopaszodáshoz vezethet, azonban a hajhullás oka más is lehet. A hajhullás leggyakrabban tápanyaghiányra vezethető vissza - így megfelelő táplálkozással, szükség esetén étrend-kiegészítők használatával megőrizhető a haj és a fejbőr megfelelő állapota -, de emellett több más okból is előfordulhat. Ezen okok közé sorolható például a stressz vagy a hormonális változások. Fontos, hogy ha kerülni nem is sikerül a fokozott testi-lelki igénybevételt, gondoskodjunk a megfelelő vitaminok és ásványi anyagok beviteléről. A fogyókúra, az egyoldalú táplálkozás vagy nem megfelelő étrend is nyomot hagy a hajon. De a terhesség alatt is gyakran jelentkezik hajhullás. Sok nő szándékosan vágatja ilyenkor rövidebbre a haját. A vitaminok és ásványi anyagok mellett hasznos lehet a búzacsíraolaj bevitele is, amely többszörösen telítetlen zsírsavakat tartalmaz. Szintén káros lehet, ha a hajad és a fejbőröd számára megterhelő a frizurád. A szorosra húzott lófarok vagy a hajhosszabbítás folyamatosan feszíti a haj gyökerét, amitől az elgyengülhet, kikophat, így ezek tartós alkalmazása nem ajánlott."
"good_to_know.questions.q3"|"good_to_know"|"Zsíros haj esetén mit csináljak?"|"A zsíros hajnak elsősorban tisztító - és nem ápoló - samponra van szüksége, amely hatékonyan eltávolítja a zsírt a fejbőrről és a hajszálakról. A kéntartalmú vagy speciálisan zsíros hajra fejlesztett gyógysamponok nagyon hatékonyan segítik elő a faggyútermelés optimalizálását. Minden hajmosáskor samponozz kétszer! A habot hagyd a fejeden néhány percig, alaposan öblítsd le, majd ismételd meg a műveletet. Az utolsó öblítést mindig hűvös vízzel végezd, így összehúzod a pórusokat. Balzsamot, kondicionálót, pakolásokat ne használj, maximum kéthetente. Figyelj arra, hogy a hajvégeidre kend, és ne jusson belőle a fejbőrre, mert ez fokozott zsírosodáshoz vezethet."
"good_to_know.questions.q4"|"good_to_know"|"Elvékonyodott a hajam, mit tegyek?"|"Az erősen zsíros haj jó eséllyel el is vékonyodik. Mivel a faggyúmirigy túl sok zsírt termel, ez visszafolyik a szőrtüszőbe, kristályossá válik, ettől pedig a hajhagyma nem jut elegendő oxigénhez. Ez elvékonyodáshoz, majd idő előtti hajhulláshoz vezethet."
"good_to_know.questions.q5"|"good_to_know"|"Fakó, fénytelen haj ellen mit tehetek?"|"Általában a nyári időszak viseli meg igazán a hajat fényesség szempontjából. A medence vagy a tenger vize szinte biztosan rosszat tesz neki, de már a napsütés is károsítja. Ha időd és lehetőséged engedi, a medencében fürdés előtt öblítsd le a hajad balzsammal kevert vízzel, vagy akár egyszerű tiszta vízzel. A hajszál ezzel szívja tele magát, nem pedig a számára káros vízzel. Emellett belsőleg is használj vizet, fogyassz megfelelő mennyiséget, mert a bőr mellett a hajnak is szüksége van a megfelelő hidratációra!"
"good_to_know.questions.q6"|"good_to_know"|"Lassan növő hajamon hogyan segíthetek?"|"Egyrészt genetikailag meghatározott, milyen gyorsan nő a hajad, másrészt azonban a táplálkozás és az életmód is számít. Kerüld a stresszt, ne dohányozz és táplálkozz megfelelően! Fogyassz legalább másfél-két liter vizet naponta, egyél fehér húsokat, teljes kiőrlésű gabonából készült termékeket, valamint tojást!"
"good_to_know.questions.q7"|"good_to_know"|"Kezelhetetlen göndör hajam hogyan szelídíthetem meg?"|"A természetes göndör haj sok odafigyelést igényel, mégis sokan irigykednek rá. Mivel a szerkezet miatt kevesebbet érintkezik a haj a fejbőrrel, ezért kevesebb faggyú jut rá, vagyis a göndör haj gyakran száraz is. Így nagyjából hasonló szabályok vonatkoznak rá, mint a száraz hajra. Érdemes kerülni a hajszárítót és a hajvasalót, balzsamot pedig bátran használhatsz. Néhány pakolás is jót tesz, ezekért nem feltétlenül kell vagyonokat kiadnod, otthon is elkészítheted némelyiket (lásd tippünket \"Száraz, töredezett haj\" leírásánál)."
"good_to_know.questions.q8"|"good_to_know"|"Miből épülnek fel a hajszálak?"|"A haj a mai modern életünkben is rendelkezik még néhány élettani funkcióval, például védi a fejbőrt a hidegtől és az esőtől - ezekre általában kevés figyelmet szentelünk, alig tudatosítjuk. Annál fontosabbnak tartjuk azonban a megjelenésünk szempontjából: az egészséges hajnak köszönhetően jó eséllyel vonzóbbnak találjuk magunkat. A hajszövet nagyrészt ugyanúgy keratinból áll, mint a köröm, kis része pedig víz. Kétféleképpen vizsgálhatjuk szerkezetét, lényegében hosszában és keresztben. Az általánosabb a hosszában való megkülönböztetés, ekkor hajszálról és gyökérről beszélünk. Keresztmetszetét tekintve három nagyobb részből áll: a külső réteg, vagyis a hámréteg felel a haj fényességéért - ha lemezkéi szabályosan állnak, a haj fényes és selymes. A rugalmasságért a középső réteg, a hajkéreg felel, a kettőt pedig a hajbél táplálja, és biztosítja a szellőzést."
"good_to_know.questions.q9"|"good_to_know"|"Milyen összetevőkre van szüksége a hajnak?"|"Több összetevőre is szüksége van a hajnak a megfelelő növekedéshez és működéshez, köztük aminosavakra, amelyek a keratin alkotórészei. Az aranyköles például megfelelő aminosavforrás lehet."
"good_to_know.questions.q10"|"good_to_know"|"Mennyi egy hajszál élettartama?"|"A haj életciklusa, vagyis élete több részre osztható, amiből a két legfontosabb a növekedési és a nyugalmi fázis. Ezek jelentik a hajszál kialakulását, illetve elhalását. A növekedési fázis tart legtovább, ami nőknél 4-6 év, férfiaknál ennél rövidebb. 30 éves korunkig gyorsabban nő a haj, afölött lassabban pótolható a kihullott haj, főleg akkor, ha betegségek gyengítik, vagy hiányzik a szükséges tápanyag - ami megfelelő, vitaminokban és ásványi anyagokban gazdag táplálkozással biztosítható. A teljes hajszerkezet 85%-a van növekedési fázisban, vagyis felnőtt embereknél a haj nagy része mindig növésben van. Ezzel szemben a nagyjából három hónapos nyugalmi fázisban a hajgyökér működése szünetel, ami a gyakorlatban azt jelenti, hogy ekkor már nem növekszik, majd ki is hullik."
"good_to_know.questions.q11"|"good_to_know"|"Mennyi hajszála van egy embernek?"|"Életünk során nagyjából 1 millió szál haj nő, és fiatal korban a hajszálak száma összefüggésben áll a haj színével. A szőkéknek 150 ezer, a sötét hajúaknak nagyjából 60 ezer hajszáluk van. Felnőtt korban átlagosan 100 000 hajszállal számolhatunk. A hajhullás során elveszített hajnak nem a teljes egésze kerül pótlásra a növekedés során. Ha 40 éves korodra elveszítetted a hajszálaid ötödét, az még természetesnek mondható. A nemi hormonok is hatással vannak a hajra, ami miatt a nők haja dúsabbá és vastagabbá válik, mint a férfiaké."
"good_to_know.questions.q12"|"good_to_know"|"Naponta 30-40 hajszálam hullik ki, ez normális?"|"Igen, ez hozzátartozik a haj megújulásához, aggódni napi 100 hajszál feletti hajhullás esetén kell."
"good_to_know.questions.q13"|"good_to_know"|"Hajhullással kapcsolatos fórumokon olvastam, hogy vannak olyan időszakok, amikor jobban hullik a hajam, például ősszel. Ez tényleg így van, és ha igen, mi az oka?"|"Valóban, tavasszal és ősszel gyakrabban figyelhető meg hajhullás. Tavasszal a szervezet vitaminhiánya miatt jellemző, ősszel pedig a nyári időjárás és szokásaink miatti fokozott igénybevétel, az erős napfény, valamint a strandolás során a klóros vagy sós víz miatt tapasztalható hajhullás."
"good_to_know.questions.q14"|"good_to_know"|"Milyen kefét, fésűt használjak, ha kímélni szeretném a hajam?"|"Bár a nedves hajat könnyebb kifésülni, mégis rosszat tesz neki, ha sűrű fogú fésűvel igazítod meg. Könnyebben sérül és könnyebben téped ki, ezért inkább azt tanácsolom, hajkefét használj."
"good_to_know.questions.q15"|"good_to_know"|"Nem hullik a hajam, de genetikailag hajlamos lehetek rá. Mit tehetek?"|"Ha örökölted a hajhullást, ugyanazt teheted, mint egyéb esetben. Kíméld, kapjon sok folyadékot és persze a megfelelő tápanyagokat. Visszafordítani nem lehet, de a tápanyagokkal segíthetsz a hajadnak, hogy késleltesd az erős hajhullás beindulását."
"good_to_know.questions.q16"|"good_to_know"|"Ha sok vitamint fogyasztok, azzal ugye megelőzhetem a hajhullást?"|"Egyes vitaminok hasznosak, míg mások nélkülözhetetlenek a haj egészsége szempontjából. Vigyázz azonban, mert az A-vitamint túl lehet adagolni! A napi irányadó mennyiség 2-4-szerese májproblémákat és hajhullást okozhat."
"good_to_know.questions.q17"|"good_to_know"|"Milyen tápanyagokat keressek étkezéskor, hogy segítsek a hajamnak? Lehetséges a hajhullás ellen házilag tenni valamit?"|"Vitaminok közül az A-, C-, B-, E-vitaminokat és a biotint keresd, az ásványi anyagok közül pedig elsősorban a cinket."
"good_to_know.questions.q18"|"good_to_know"|"Sokat hordom copfban a hajamat, és gyakran teszek fel hajpótlást is. Ezek miatt hullhat a hajam?"|"Igen, ezekkel is erőteljesen igénybe veszik a hajad, ami miatt a hajgyökerek gyengülhetnek, végül kikophatnak. Így ha teheted, pihentesd a hajadat."
"good_to_know.questions.q19"|"good_to_know"|"Úgy hallottam, az aranyköles jót tesz a hajnak."|"Az aranyköles nagyon magas ásványi anyag tartalommal rendelkezik, ráadásul vitaminokat és aminosavakat is tartalmaz, amelyek az egészséges haj alkotórészei. Ehhez hasonlóan a búzacsíraolaj is hasznos, mivel jótékony telítetlen zsírsavak vannak benne."
"good_to_know.questions.q20"|"good_to_know"|"Félek, hogy máshol is erősödik majd a szőrzetem, ha elkezdem szedni a HairClinic-et"|"Ettől nem kell tartanod, a haj és testszőrzet máshonnan táplálkozik, így a HairClinic-kel nem tudod befolyásolni a testszőrzet növekedését."
"good_to_know.questions.q21"|"good_to_know"|"Milyen allergéneket tartalmaz a HairClinic kapszula? Laktózérzékeny vagyok, és nem tudom, szedhetem-e."|"A HairClinic nem tartalmaz laktózt."
"good_to_know.questions.q22"|"good_to_know"|"Félek, hogy a terhesség miatt hullani kezd a hajam. Mikortól szedhetem a HairClinic-et?"|"Terhesség esetén a baba egészsége az első, ezért a biztonság kedvéért bármilyen étrend-kiegészítő szedése előtt konzultálj kezelőorvosoddal."
"good_to_know.questions.q23"|"good_to_know"|"Tényleg pótolhatják az egészséges táplálkozást a hajszépség vitaminok?"|"Az egészséges táplálkozást semmi sem válthatja ki, viszont sokaknak nincs lehetőségük mindig időben vagy változatosan enni. Nekik segítség lehet egy ilyen étrend-kiegészítő, amelynek tápanyagai a hajhagymákon keresztül elősegítik a haj egészséges növekedését."
"advice.description"|"advice"|"Leírás"|"Hajápolás tanácsok<br>Zsidró Tamás<br>mesterfodrásztól"
"advice.advice.a0"|"advice"|"Tanács"|"Azoknál a vendégeimnél, akik gyakran járnak hozzám, könnyebben észreveszem a változást, és nagyon meggyőzőek az eredmények.<br>Sokszor hallom tőlük:<br>“<i>De jó, hogy ajánlottad!</i>”"
"advice.advice.a1"|"advice"|"Tanács"|"Fontos, hogy mindig kímélő sampont használj a hajadra, ezzel is csökkentve a terhelését."
"advice.advice.a2"|"advice"|"Tanács"|"Mindig alaposan ki kell öblíteni a habot, nagyjából ötször annyi időt fordíts az öblítésre, mint a mosásra!"
"advice.advice.a3"|"advice"|"Tanács"|"Nem szabad túl forró levegővel szárítani a hajat! Ha időd és az időjárás engedi, az a legjobb, ha magától szárad meg, törölközővel gyengéden segítve."
"advice.advice.a4"|"advice"|"Tanács"|"Számít, hogy milyen fésűt használsz. Csak jó minőségű, lekerekített végű vagy sörtéjű hajkefét használj!"
"advice.advice.a5"|"advice"|"Tanács"|"Ha hosszú a hajad, sokat segíthetsz a pihentetésben azzal, ha gyakran viseled kiengedve. A hajgumik és csatok károsítják a hajszálakat."
"advice.video"|"advice"|"Videó"|"https://www.youtube.com/embed/YZtFJdc3nDk"
